run,camCol,rerun,field,objID,u,g,r,i,z,ra,dec
5330,4,301,40,1237668366922548632,24.30891,24.74396,24.57869,22.56263,21.19662,235.047026704316,15.1744457020058
5330,4,301,40,1237668366922548657,23.62783,25.33116,24.98272,21.75724,20.24002,235.130242950262,15.283622330985
5330,4,301,41,1237668366922614154,24.46236,24.59712,24.23885,22.39917,21.1011,235.168066104472,15.1202641678843
5330,4,301,40,1237668366922548694,23.34914,23.74422,23.32345,22.13626,21.41185,235.188176576023,15.2665323378301
5330,4,301,41,1237668366922613535,23.35401,23.2839,23.12666,22.50797,21.88756,235.239978180981,15.1937427212575
5330,4,301,41,1237668366922613595,23.74885,23.40823,23.17942,22.47551,22.06838,235.256500163767,15.1960022772608
5330,4,301,42,1237668366922679526,24.5152,24.69583,24.0723,22.22137,20.94864,235.373330313592,15.1010360088861
5330,4,301,42,1237668366922678651,22.42257,24.60542,24.87579,24.06824,22.95966,235.418182309959,15.2172515512401
5330,4,301,42,1237668366922678668,22.23619,24.9667,25.06652,23.76143,21.44991,235.465910045865,15.181755316219
5330,4,301,42,1237668366922678671,22.37851,25.24193,25.78828,24.57241,24.09878,235.465952947052,15.1503045601465
5934,4,301,34,1237670961082401674,24.58071,25.17982,24.59031,21.59189,20.23931,33.0069393583882,16.2609145506323
5934,4,301,35,1237670961082466900,22.53568,22.88691,23.20364,22.44729,21.58124,33.0726677876465,16.4587297240972
5934,4,301,37,1237670961082598313,24.24164,25.12358,25.35083,24.21912,20.80615,33.127650519954,16.6391974587049
5934,4,301,35,1237670961082467285,25.08477,24.91715,24.3318,21.9421,20.65614,33.178645394985,16.3810578569453
5934,4,301,37,1237670961082598226,22.59108,24.83111,24.28679,21.72363,20.61985,33.1820623296928,16.6546525115909
5934,4,301,38,1237670961082663727,24.17433,23.81123,23.28971,22.42281,21.374,33.2278699198758,16.7737032636424
5934,4,301,37,1237670961082597653,22.26796,25.61707,25.59074,24.76412,23.27756,33.2841461552077,16.6616286311045
5934,4,301,39,1237670961082729260,22.41322,23.55222,23.1354,22.23936,21.80418,33.2982882467407,16.9077331389499
5934,4,301,39,1237670961082729360,23.51633,23.30102,23.35944,22.22274,21.13655,33.3780644960551,16.9881765874967
5934,4,301,40,1237670961082794947,24.46976,24.32861,25.67108,23.78262,20.45599,33.4040386387828,17.0712601769946
5934,4,301,39,1237670961082729296,24.30955,24.45877,24.60665,22.42348,21.96782,33.4081049969234,16.8847516091818
5934,4,301,40,1237670961082794954,23.79315,25.03395,25.67236,25.17432,20.74125,33.4172094300684,17.128428715197
5934,4,301,40,1237670961082794899,22.63489,24.05216,23.6197,22.22325,21.41162,33.4665648733263,17.0736236921479
5934,4,301,42,1237670961082925942,24.10285,24.5882,24.40392,21.89007,21.03712,33.4930895915138,17.3452446508656
5934,4,301,41,1237670961082860391,23.38656,23.8087,23.22921,22.04653,21.26557,33.5101736667521,17.1765101463378
5934,4,301,43,1237670961082990921,22.10424,24.43235,24.03812,23.2072,21.53311,33.6449607377652,17.3915732660566
5934,4,301,43,1237670961082991619,23.10615,24.47764,23.83331,22.35504,20.83682,33.6756661474577,17.5308909963325
5934,4,301,46,1237670961083187550,21.79813,24.61307,24.8776,23.93825,21.36154,33.7194244999857,17.878856181026
5934,4,301,47,1237670961083253725,24.37812,24.0879,24.58054,21.93394,21.23355,33.8374651895643,18.1059690791073
5934,4,301,46,1237670961083188063,23.52022,23.95526,23.62058,21.42782,20.91524,33.8487883902812,17.8379049376422
5934,4,301,47,1237670961083253305,23.37856,23.00781,23.49161,22.66581,21.74755,33.849678329948,18.0438986204064
5934,4,301,47,1237670961083253700,24.1175,24.82546,24.13844,21.69931,20.85015,33.8874789724111,18.04011276641
5934,4,301,47,1237670961083253114,22.02192,24.86923,26.1066,23.69965,22.98688,33.8910295073091,17.9435770751527
5934,4,301,48,1237670961083319164,24.14104,25.15842,25.25639,24.01365,20.65576,33.9462638812197,18.2013313773825
5934,4,301,48,1237670961083319045,23.59435,24.57387,24.39715,22.41545,21.62811,33.9608142132764,18.0977934162156
5934,4,301,49,1237670961083384795,25.18803,24.90066,24.27559,22.30314,21.78728,34.0047937528157,18.3546654298819
5934,4,301,50,1237670961083449729,22.26175,25.18805,25.96296,24.40821,23.75221,34.0464092363255,18.4978931005967
5934,4,301,50,1237670961083450457,24.4668,25.42328,25.55497,23.87365,20.67639,34.0511153631467,18.4687568170719
5934,4,301,49,1237670961083384681,24.77027,24.6284,24.4173,22.18252,21.65428,34.0886280748711,18.1906654615244
5934,4,301,51,1237670961083515883,23.05232,25.26182,24.93113,23.4436,20.72491,34.0889046451962,18.5338949132147
5934,4,301,50,1237670961083450287,23.68136,23.53396,23.09853,22.34258,21.71639,34.1109060175664,18.3334422122252
5934,4,301,52,1237670961083580812,23.17364,23.001,22.99104,22.32801,21.21785,34.1110105496764,18.7008620345359
5934,4,301,50,1237670961083450333,25.00754,25.0608,24.51304,22.0277,21.57051,34.1247892344218,18.3754968379831
5934,4,301,50,1237670961083449802,22.70412,22.88528,23.18006,22.57164,21.31911,34.1293967999245,18.3510360710696
5934,4,301,51,1237670961083515816,23.1972,23.64262,23.02246,22.42312,22.02002,34.1790023445036,18.5599860527166
5934,4,301,52,1237670961083581394,23.64685,24.06276,23.41632,22.3921,21.43343,34.2008854035977,18.7825306438501
5934,4,301,52,1237670961083581354,23.92438,23.55076,23.18551,22.36475,21.90854,34.2754512237432,18.7052426446368
5934,4,301,53,1237670961083646473,22.67777,23.18509,23.02452,22.00669,21.41645,34.3677184262287,18.8225586001125
5934,4,301,53,1237670961083646784,24.9719,24.62086,24.36458,22.23906,21.79092,34.3684975069748,18.7489778392631
5934,4,301,54,1237670961083711954,23.03248,23.21988,23.58816,22.70873,22.08951,34.3774872384717,18.9782259468043
5934,4,301,56,1237670961083843435,23.3786,23.79567,23.99034,22.38207,21.63889,34.3794456554058,19.2322164991596
5934,4,301,55,1237670961083777982,23.25019,24.45129,23.81874,21.90256,21.3907,34.415376016913,19.0927877919105
5934,4,301,56,1237670961083842907,22.06732,25.22604,24.78378,24.31618,22.78842,34.4240144767119,19.3023977720193
5934,4,301,54,1237670961083712388,23.38154,23.73082,23.03708,22.32523,21.70122,34.4287880703402,18.9888543440564
5934,4,301,54,1237670961083712372,24.71598,24.45769,24.40163,21.39775,19.95882,34.4402865722381,18.9645199440315
5934,4,301,56,1237670961083842905,22.19627,24.55683,25.53789,24.19899,22.32143,34.4539601888085,19.2725278994667
5934,4,301,58,1237670961083974634,22.6016,24.13114,24.15174,23.55783,20.62669,34.573178684843,19.464549054213
5934,4,301,57,1237670961083908950,24.24599,24.42277,24.47011,21.89735,21.01781,34.5734213082801,19.4069339628817
5934,4,301,57,1237670961083908930,23.62346,24.61913,24.14473,22.15344,21.0348,34.6013367784178,19.3728209742768
5934,4,301,58,1237670961083974641,23.93421,25.31056,25.57145,24.82096,20.13513,34.6043836199742,19.5348102669304
5934,4,301,58,1237670961083974606,23.96094,24.09814,23.4135,22.3084,21.66751,34.639101357374,19.5608462718503
5934,4,301,59,1237670961084039895,24.92259,24.56578,24.57818,22.27005,21.23274,34.6711328518336,19.58699210591
5934,4,301,58,1237670961083973930,22.14122,25.63244,25.61661,24.44505,23.03611,34.6763654178141,19.4036034952214
5934,4,301,60,1237670961084105486,23.7024,23.94147,23.61234,22.42466,21.95609,34.6980118869802,19.737251928284
4828,4,301,124,1237666210854471592,22.95238,22.90466,22.43654,21.96263,21.13398,267.436456118481,25.4730940004153
